                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1281,                0.99457,                 1.3334,                0.69029,                0.75669,                0.77199,                0.49635,                 1.2533,                0.95948,                 1.5258,               0.000493,               0.000493,               0.000493
                     35,                 1.1198,                0.99754,                  1.323,                0.71937,                0.68314,                0.75285,                0.48016,                 1.2637,                 1.0899,                 1.5127,             0.00048888,             0.00048888,             0.00048888
                     36,                 1.1169,                0.97797,                 1.3123,                0.70258,                 0.6897,                0.75039,                  0.479,                 1.2828,                0.99343,                 1.5454,             0.00048475,             0.00048475,             0.00048475
                     37,                 1.1073,                0.97168,                  1.319,                0.71253,                0.74008,                0.76927,                0.49822,                 1.2707,                0.94675,                 1.5404,             0.00048062,             0.00048062,             0.00048062
                     38,                 1.0963,                0.94671,                  1.305,                 0.7294,                0.72272,                0.76685,                0.49151,                 1.2657,                 1.0207,                 1.5269,              0.0004765,              0.0004765,              0.0004765
                     39,                 1.0905,                0.93818,                 1.3012,                0.73201,                0.69508,                0.75551,                0.48132,                 1.2728,                0.97221,                  1.508,             0.00047237,             0.00047237,             0.00047237
                     40,                 1.0864,                0.92329,                  1.291,                0.73881,                0.72713,                0.76555,                0.49177,                 1.2422,                0.95744,                 1.4993,             0.00046825,             0.00046825,             0.00046825
                     41,                 1.0896,                0.93256,                 1.2963,                0.73537,                0.71247,                 0.7595,                0.49258,                 1.2474,                0.96606,                 1.4988,             0.00046413,             0.00046413,             0.00046413
                     42,                 1.0746,                 0.9114,                 1.2904,                0.76708,                0.73171,                0.77946,                0.50142,                 1.2453,                0.91305,                  1.503,                0.00046,                0.00046,                0.00046
                     43,                  1.071,                0.90683,                 1.2949,                 0.7589,                0.71282,                0.77791,                0.49554,                  1.259,                0.99038,                 1.5283,             0.00045588,             0.00045588,             0.00045588
                     44,                 1.0651,                0.89505,                 1.2947,                 0.7314,                0.74957,                0.77454,                0.49448,                 1.2579,                0.94692,                 1.5158,             0.00045175,             0.00045175,             0.00045175
                     45,                 1.0491,                0.87289,                 1.2848,                0.76549,                0.74285,                 0.7891,                0.50903,                 1.2642,                 0.9371,                 1.5116,             0.00044763,             0.00044763,             0.00044763
                     46,                 1.0387,                0.86528,                 1.2702,                 0.7796,                0.73339,                0.78921,                 0.5112,                 1.2552,                0.93837,                 1.5037,              0.0004435,              0.0004435,              0.0004435
                     47,                  1.046,                0.85033,                 1.2781,                0.78829,                0.72362,                0.78887,                0.51359,                 1.2424,                0.91492,                 1.4954,             0.00043937,             0.00043937,             0.00043937
                     48,                 1.0191,                  0.818,                 1.2616,                0.74678,                0.74255,                0.77828,                 0.5081,                 1.2471,                0.91892,                 1.5151,             0.00043525,             0.00043525,             0.00043525
                     49,                 1.0335,                  0.817,                 1.2741,                0.75111,                0.73465,                0.78413,                0.51107,                 1.2336,                0.90248,                 1.4967,             0.00043112,             0.00043112,             0.00043112
                     50,                 1.0491,                0.84656,                 1.2674,                0.76929,                0.74421,                 0.7926,                0.51468,                 1.2377,                0.88404,                 1.4945,               0.000427,               0.000427,               0.000427
                     51,                 1.0166,                0.82744,                  1.258,                0.77139,                0.74146,                0.79742,                0.50897,                 1.2567,                0.88709,                 1.5222,             0.00042288,             0.00042288,             0.00042288
                     52,                 1.0191,                0.82859,                 1.2645,                0.77889,                0.69109,                 0.7644,                0.49538,                 1.2407,                0.96586,                 1.4975,             0.00041875,             0.00041875,             0.00041875
                     53,                 1.0175,                0.80204,                 1.2537,                0.73858,                0.74291,                0.77214,                0.50284,                 1.2819,                0.92412,                 1.5401,             0.00041462,             0.00041462,             0.00041462
                     54,                  1.002,                0.79337,                  1.236,                0.81631,                0.71945,                0.79119,                 0.5104,                 1.2423,                0.87119,                 1.5017,              0.0004105,              0.0004105,              0.0004105
                     55,                 1.0106,                0.79529,                 1.2421,                0.76039,                0.75711,                0.80923,                0.52135,                 1.2396,                0.88831,                 1.5106,             0.00040638,             0.00040638,             0.00040638
                     56,                0.99806,                 0.7961,                  1.243,                0.74267,                0.77376,                0.78754,                0.51349,                 1.2425,                0.89551,                 1.5073,             0.00040225,             0.00040225,             0.00040225
                     57,                0.99652,                0.78965,                  1.246,                 0.7587,                0.77527,                0.80204,                0.52336,                 1.2329,                0.88725,                  1.509,             0.00039813,             0.00039813,             0.00039813
                     58,                0.98056,                0.78534,                 1.2377,                0.80286,                0.71495,                0.79155,                0.51445,                 1.2588,                 0.9079,                 1.5351,               0.000394,               0.000394,               0.000394
                     59,                0.98811,                0.76625,                 1.2284,                0.76884,                0.76693,                0.81146,                0.52945,                 1.2367,                0.85356,                 1.4965,             0.00038988,             0.00038988,             0.00038988
                     60,                0.96532,                0.74407,                 1.2206,                0.79638,                 0.7733,                0.82585,                0.54412,                 1.2241,                0.82169,                 1.4914,             0.00038575,             0.00038575,             0.00038575
                     61,                0.96457,                0.73638,                 1.2254,                0.77994,                0.78215,                0.81396,                0.52478,                 1.2481,                0.85678,                 1.5232,             0.00038163,             0.00038163,             0.00038163
                     62,                0.94399,                0.72117,                 1.2147,                 0.7771,                0.74627,                0.81198,                 0.5306,                 1.2256,                0.83883,                 1.4931,              0.0003775,              0.0003775,              0.0003775
                     63,                0.95905,                0.73706,                 1.2187,                 0.7612,                0.76771,                0.81451,                0.54119,                 1.2146,                  0.848,                  1.497,             0.00037337,             0.00037337,             0.00037337
                     64,                 0.9448,                0.72176,                 1.2103,                0.77699,                0.77615,                0.82471,                0.53844,                 1.2173,                0.84626,                 1.4929,             0.00036925,             0.00036925,             0.00036925
